cab,crab,dab,gab,grab,jab,nab,tab,
bad,dad,had,lad,mad,pad,sad,glad,
bag,drag,flag,nag,rag,sag,tag,wag,
clam,dam,ham,jam,ram,Sam,slam,swam,
ban,can,fan,man,pan,ran,tan,van,
cap,clap,gap,lap,map,nap,snap,tap,
bat,cat,fat,hat,mat,pat,rat,sat,
bed,fed,led,red,shed,sled,sped,wed,
bell,fell,sell,shell,spell,tell,well,yell,
den,hen,Ken,men,pen,ten,then,when,
bet,get,jet,met,net,pet,vet,wet,
big,dig,fig,gig,jig,pig,rig,wig,
bid,did,hid,kid,lid,rid,skid,slid,
bin,din,fin,grin,pin,spin,tin,win,
bill,fill,gill,hill,will,pill,chill,still,
dip,hip,lip,rip,sip,tip,zip,ship,
bit,fit,hit,kit,pit,quit,sit,wit,
blob,bob,cob,glob,job,mob,rob,sob,
dog,clog,fog,frog,hog,jog,log,smog,
bop,cop,drop,hop,mop,pop,stop,top,
cot,dot,hot,lot,not,pot,spot,tot,
cub,club,grub,nub,rub,sub,stub,tub,
bug,chug,lug,dug,drug,hug,mug,rug,
bum,chum,drum,gum,glum,hum,plum,sum,
bun,fun,nun,pun,run,spun,stun,sun,
